"0.8837,0.08544180818669754,1,330,[562, 570, 166]"
"0.8843,0.005221629245682374,17,466,[577]"
"0.0981,0.06306677211638072,1,23,[291, 594, 755, 409, 182]"
"0.8403,0.07599768701529756,2,195,[447, 615]"
"0.8899,0.06965609042361072,14,873,[438]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.879,0.012564497118360187,11,442,[487, 749, 263]"
"0.8739,0.07376595764845958,2,383,[547, 626]"
"0.8558,0.053479961279266484,11,361,[518, 376, 374, 118, 131]"
"0.873,0.04799932536200925,11,663,[456, 462, 711]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.879,0.012564497118360187,11,442,[487, 749, 263]"
"0.875,0.012564497118360187,11,442,[624, 855]"
"0.8793,0.07376595764845958,11,442,[548, 626, 263]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8793,0.07376595764845958,11,442,[548, 626, 263]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8827,0.012564497118360187,9,442,[624, 332]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8827,0.012564497118360187,9,442,[624, 332]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8795,0.09363528683172252,10,96,[284, 855]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8827,0.012564497118360187,9,442,[624, 332]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8803,0.09363528683172252,11,442,[284, 532, 855, 150]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8827,0.012564497118360187,9,442,[624, 332]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8803,0.09363528683172252,11,442,[284, 532, 855, 150]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8827,0.012564497118360187,9,442,[624, 332]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8803,0.09363528683172252,11,442,[284, 532, 855, 150]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8827,0.012564497118360187,9,442,[624, 332]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8803,0.09363528683172252,11,442,[284, 532, 855, 150]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8827,0.012564497118360187,9,442,[624, 332]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8803,0.09363528683172252,11,442,[284, 532, 855, 150]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8828,0.09363528683172252,10,471,[473, 332, 263]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.8834,0.08692160749833434,10,481,[284, 332, 263]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.8834,0.08692160749833434,10,481,[284, 332, 263]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.8856,0.09363528683172252,10,481,[284, 290, 176]"
"0.884,0.09363528683172252,10,96,[284, 332, 176]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.8856,0.09363528683172252,10,481,[284, 290, 176]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
"0.8888,0.1014888321113933,10,471,[284, 332, 176]"
"0.8871,0.0874425970591863,10,481,[624, 332, 263]"
"0.8856,0.09363528683172252,10,481,[284, 290, 176]"
"0.888,0.0874425970591863,10,481,[379, 284, 332, 263]"
"0.8849,0.09363528683172252,10,442,[284, 855, 150]"
