"0.8726,0.006859897908238287,18,292,[140, 734, 292]"
"0.8758,0.0638558780215771,16,744,[341, 309]"
"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8804,0.06663787080497767,18,556,[140, 734, 292]"
"0.8779,0.0638558780215771,18,744,[341, 321, 292]"
"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8804,0.06663787080497767,18,556,[140, 734, 292]"
"0.8779,0.0638558780215771,18,744,[341, 321, 292]"
"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8804,0.06663787080497767,18,556,[140, 734, 292]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8808,0.07338447046896585,6,571,[140, 784, 292]"
"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8837,0.0638558780215771,18,571,[469, 354, 734, 277]"

"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8837,0.0638558780215771,18,571,[469, 354, 734, 277]"
"0.8847,0.07338447046896585,6,571,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8849,0.0638558780215771,18,744,[125, 734, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8885,0.08150039369417632,6,743,[354, 637, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8885,0.08150039369417632,6,743,[354, 637, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8885,0.08150039369417632,6,743,[354, 637, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8885,0.08150039369417632,6,743,[354, 637, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8885,0.08150039369417632,6,743,[354, 637, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8885,0.08150039369417632,6,743,[354, 637, 292]"
"0.8902,0.07338447046896585,18,832,[354, 637, 292]"
"0.8913,0.07338447046896585,6,665,[354, 591, 706]"
"0.8885,0.08150039369417632,6,743,[354, 637, 292]"
