"0.8309,0.007640331438375882,8,108,[305, 594, 297, 458]"
"0.8477,0.05034345868804304,17,119,[609, 63, 523, 128]"
"0.8183,0.024290013414473285,19,206,[351, 511, 194, 635]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8188,0.00207182764975766,15,19,[341, 346, 401, 90]"
"0.8477,0.05034345868804304,17,119,[609, 63, 523, 128]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8601,0.048380998450997165,17,108,[305, 63, 523]"
"0.8556,0.007640331438375882,8,108,[305, 201, 458]"
"0.8591,0.0431434341240333,17,119,[729, 266, 285, 128, 295]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8634,0.048380998450997165,17,119,[305, 266, 523, 128, 263]"
"0.8675,0.05034345868804304,17,119,[729, 63, 302, 631]"
"0.8606,0.048380998450997165,17,119,[284, 729, 63, 523, 128, 295]"
"0.864,0.05034345868804304,17,119,[609, 63, 128]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8634,0.048380998450997165,17,119,[305, 266, 523, 128, 263]"
"0.8675,0.05034345868804304,17,119,[729, 63, 302, 631]"
"0.864,0.05034345868804304,17,119,[609, 63, 128]"
"0.873,0.012447071735176639,17,107,[729, 63, 302, 607, 295]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8634,0.048380998450997165,17,119,[305, 266, 523, 128, 263]"
"0.8675,0.05034345868804304,17,119,[729, 63, 302, 631]"
"0.864,0.05034345868804304,17,119,[609, 63, 128]"
"0.873,0.012447071735176639,17,107,[729, 63, 302, 607, 295]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8675,0.05034345868804304,17,119,[729, 63, 302, 631]"
"0.873,0.012447071735176639,17,107,[729, 63, 302, 607, 295]"
"0.8777,0.048380998450997165,17,119,[660, 250, 588, 631, 263]"
"0.867,0.05034345868804304,17,119,[805, 64, 143]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8675,0.05034345868804304,17,119,[729, 63, 302, 631]"
"0.873,0.012447071735176639,17,107,[729, 63, 302, 607, 295]"
"0.8777,0.048380998450997165,17,119,[660, 250, 588, 631, 263]"
"0.8716,0.012447071735176639,17,119,[676, 63, 286, 631, 295]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.873,0.012447071735176639,17,107,[729, 63, 302, 607, 295]"
"0.8777,0.048380998450997165,17,119,[660, 250, 588, 631, 263]"
"0.8716,0.012447071735176639,17,119,[676, 63, 286, 631, 295]"
"0.8733,0.042707296170859034,17,119,[676, 250, 588, 631, 295]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.873,0.012447071735176639,17,107,[729, 63, 302, 607, 295]"
"0.8777,0.048380998450997165,17,119,[660, 250, 588, 631, 263]"
"0.8733,0.042707296170859034,17,119,[676, 250, 588, 631, 295]"
"0.8735,0.012447071735176639,19,449,[676, 266, 302, 631, 295]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8777,0.048380998450997165,17,119,[660, 250, 588, 631, 263]"
"0.8773,0.048380998450997165,17,119,[676, 250, 607, 564, 295]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8781,0.012447071735176639,19,385,[729, 63, 304, 561, 295]"
"0.878,0.012447071735176639,19,419,[729, 266, 302, 561, 295]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8781,0.012447071735176639,19,385,[729, 63, 304, 561, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8781,0.012447071735176639,19,385,[729, 63, 304, 561, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8789,0.048380998450997165,19,469,[729, 266, 302, 561, 282]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8811,0.048380998450997165,19,469,[489, 729, 255, 302, 562, 282]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8811,0.048380998450997165,19,469,[489, 729, 255, 302, 562, 282]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8811,0.048380998450997165,19,469,[489, 729, 255, 302, 562, 282]"
"0.8795,0.042707296170859034,19,419,[729, 266, 302, 665, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8811,0.048380998450997165,19,469,[489, 729, 255, 302, 562, 282]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8811,0.048380998450997165,19,469,[489, 729, 255, 302, 562, 282]"
"0.8846,0.012447071735176639,20,385,[783, 63, 302, 295, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8811,0.048380998450997165,19,469,[489, 729, 255, 302, 562, 282]"
"0.8846,0.012447071735176639,20,385,[783, 63, 302, 295, 295]"
"0.8801,0.012447071735176639,19,385,[783, 63, 302, 561, 295]"
"0.8827,0.048380998450997165,19,376,[660, 266, 302, 561, 263]"
"0.8821,0.012447071735176639,19,385,[729, 266, 302, 375, 561, 295]"
"0.8811,0.048380998450997165,19,469,[489, 729, 255, 302, 562, 282]"
"0.8846,0.012447071735176639,20,385,[783, 63, 302, 295, 295]"
